ID_Fruit,N_Locules,Mean_Area,SD_Area,CV_Area,Position_X,Position_Y
116,4,179.5,41.83499332695855,23.306402967664933,358,212
111,4,211,32.03383627770278,15.181912927821223,198,214
102,3,313.1666666666667,128.9130844147844,41.16436969072413,434,215
106,4,157.25,28.89780845208393,18.376984707207587,274,215
97,4,191.75,18.887826767524103,9.850235602359376,126,217
89,3,228.16666666666666,79.26590271569064,34.740351811113506,275,291
93,2,451,103.94469683442249,23.047604619605874,125,291
84,4,128.375,12.147530613256341,9.462536018115943,201,293
79,4,199.375,15.633164533559203,7.841085659465431,357,295
75,3,299.1666666666667,81.75012742089967,27.325947884423286,434,297
69,5,168.6,113.19640011943844,67.13902735435258,125,367
59,4,227,31.940048006643114,14.070505729798729,431,369
64,4,165.5,26.13426869074396,15.791098906793932,274,369
54,4,166.875,30.439489154714803,18.240892377357184,198,370
51,2,348,291.3279938488576,83.71494076116598,362,373
46,4,125,11.36515141415488,9.092121131323905,437,439
40,5,168.5,94.71140374843992,56.208548218658706,126,440
35,4,222.875,24.753366774373674,11.106390027761604,200,442
30,4,129.125,35.698681114760156,27.646606865254718,367,443
25,4,131.25,32.38698298185039,24.675796557600297,278,445
19,5,161.1,93.79192395936869,58.219692091476524,367,504
15,3,358.3333333333333,187.2794258142985,52.26402580864145,279,506
10,4,119.75,36.983104250454694,30.88359436363649,440,510
5,4,164,151.6283834467237,92.45633136995347,126,515
0,3,197.33333333333334,82.31696868406497,41.714680076384276,203,519
